Movement,Radar,Shields,Energy,TankState,SurvivalTime
1,-1,-1,-1,0.25,0.25486725663716814
1,-1,-1,-1,0.25,0.25663716814159293
-1,-1,-1,-1,0.25,0.2584070796460177
1,-1,-1,-1,0.25,0.26017699115044246
1,-1,-1,-1,0.25,0.26194690265486725
1,-1,-1,-1,0.25,0.26371681415929205
1,-1,-1,-1,0.25,0.26548672566371684
1,-1,-1,-1,0.25,0.2672566371681416
1,-1,-1,-1,0.25,0.26902654867256637
1,-1,-1,-1,0.25,0.27079646017699116
1,-1,-1,-1,0.25,0.27256637168141595
1,-1,-1,-1,0.25,0.2743362831858407
1,-1,-1,-1,0.75,0.2761061946902655
1,-1,-1,-1,0.75,0.2778761061946903
1,-1,-1,-1,0.75,0.27964601769911507
1,-1,-1,-1,0.75,0.2814159292035398
1,-1,-1,-1,0.75,0.2831858407079646
1,-1,-1,-1,0.75,0.2849557522123894
1,-1,-1,-1,0.75,0.2867256637168142
1,-1,-1,-1,0.75,0.2884955752212389
1,-1,-1,-1,0.75,0.2902654867256637
-1,-1,-1,1,1,0.2920353982300885
-1,1,-1,1,0.5,0.2938053097345133
-1,1,1,1,0.5,0.29557522123893804
-1,1,1,1,0.5,0.2973451327433628
-1,1,1,1,0.5,0.2991150442477876
-1,1,1,1,0.5,0.3008849557522124
-1,1,1,1,0.5,0.30265486725663715
-1,1,1,1,0.5,0.30442477876106194
-1,1,1,-1,0.5,0.30619469026548674
-1,1,1,-1,0.5,0.30796460176991153
1,1,1,-1,0.75,0.30973451327433627
1,-1,-1,-1,0.25,0.31150442477876106
1,-1,-1,-1,0.75,0.31327433628318585
1,-1,-1,-1,0.75,0.31504424778761064
1,-1,-1,-1,0.25,0.3168141592920354
-1,-1,-1,-1,0.25,0.3185840707964602
1,-1,-1,-1,0.25,0.32035398230088497
-1,-1,-1,-1,0.25,0.32212389380530976
1,-1,-1,-1,0.25,0.3238938053097345
1,-1,-1,-1,0.25,0.3256637168141593
-1,-1,-1,-1,0.25,0.3274336283185841
1,-1,-1,-1,0.25,0.3292035398230089
1,-1,-1,-1,0.25,0.3309734513274336
1,-1,-1,-1,0.25,0.3327433628318584
-1,-1,-1,-1,0.25,0.3345132743362832
1,-1,-1,-1,0.25,0.336283185840708
1,-1,-1,-1,0.25,0.3380530973451327
-1,-1,-1,-1,0.25,0.3398230088495575
1,-1,-1,-1,0.25,0.3415929203539823
1,-1,-1,-1,0.25,0.3433628318584071
1,-1,-1,-1,0.25,0.34513274336283184
1,-1,-1,-1,0.25,0.34690265486725663
-1,-1,-1,-1,0.25,0.3486725663716814
1,-1,-1,-1,0.25,0.3504424778761062
1,-1,-1,-1,0.25,0.35221238938053095
1,-1,-1,-1,0.25,0.35398230088495575
1,-1,-1,-1,0.75,0.35575221238938054
1,-1,-1,-1,0.25,0.35752212389380533
1,-1,-1,-1,0.75,0.35929203539823007
1,-1,-1,-1,0.25,0.36106194690265486
1,-1,-1,-1,0.75,0.36283185840707965
1,-1,-1,-1,0.75,0.36460176991150445
1,-1,-1,-1,0.75,0.3663716814159292
1,-1,-1,-1,0.75,0.368141592920354
1,-1,-1,-1,0.75,0.36991150442477877
1,-1,-1,-1,0.75,0.37168141592920356
1,-1,-1,-1,0.75,0.3734513274336283
1,-1,-1,-1,0.75,0.3752212389380531
1,-1,-1,-1,0.75,0.3769911504424779
1,-1,-1,-1,0.75,0.3787610619469027
1,-1,-1,-1,0.75,0.3805309734513274
1,-1,-1,-1,0.75,0.3823008849557522
1,-1,-1,-1,0.75,0.384070796460177
1,-1,-1,-1,0.75,0.3858407079646018
1,-1,-1,-1,0.75,0.38761061946902653
1,-1,-1,-1,0.75,0.3893805309734513
1,-1,-1,-1,0.75,0.3911504424778761
1,-1,-1,-1,0.75,0.3929203539823009
1,-1,-1,-1,0.75,0.39469026548672564
1,-1,-1,-1,0.75,0.39646017699115044
1,-1,-1,-1,0.75,0.39823008849557523
1,-1,-1,-1,0.75,0.4
-1,-1,-1,-1,0.25,0.40176991150442476
1,-1,-1,-1,0.25,0.40353982300884955
1,-1,-1,-1,0.25,0.40530973451327434
1,-1,-1,-1,0.75,0.40707964601769914
1,-1,-1,-1,0.25,0.4088495575221239
1,-1,-1,-1,0.75,0.41061946902654867
1,-1,-1,-1,0.25,0.41238938053097346
1,-1,-1,-1,0.75,0.41415929203539825
1,-1,-1,-1,0.75,0.415929203539823
1,-1,-1,-1,0.25,0.4176991150442478
-1,-1,-1,-1,0.25,0.4194690265486726
1,-1,-1,-1,0.25,0.42123893805309737
1,-1,-1,-1,0.25,0.4230088495575221
1,-1,-1,-1,0.75,0.4247787610619469
1,-1,-1,-1,0.75,0.4265486725663717
1,-1,-1,-1,0.75,0.4283185840707965
1,-1,-1,-1,0.75,0.4300884955752212
1,-1,-1,-1,0.75,0.431858407079646
1,-1,-1,-1,0.75,0.4336283185840708
1,-1,-1,-1,0.75,0.4353982300884956
1,-1,-1,-1,0.75,0.43716814159292033
1,-1,-1,-1,0.75,0.4389380530973451
1,-1,-1,-1,0.75,0.4407079646017699
1,-1,-1,-1,0.75,0.4424778761061947
1,-1,-1,-1,0.75,0.44424778761061945
1,-1,-1,-1,0.75,0.44601769911504424
-1,-1,-1,1,1,0.44778761061946903
-1,1,-1,1,0.5,0.4495575221238938
-1,1,1,1,0.5,0.45132743362831856
-1,1,1,1,0.5,0.45309734513274336
-1,1,1,1,0.5,0.45486725663716815
-1,1,1,-1,0.5,0.45663716814159294
-1,1,1,-1,0.5,0.4584070796460177
-1,1,1,-1,0.5,0.46017699115044247
-1,1,1,-1,0.75,0.46194690265486726
-1,-1,1,-1,0.75,0.46371681415929206
-1,-1,-1,-1,0.75,0.4654867256637168
-1,-1,-1,-1,0.75,0.4672566371681416
1,-1,-1,1,0.25,0.4690265486725664
1,-1,-1,1,0.25,0.0
1,-1,-1,1,0.25,0.0017699115044247787
-1,-1,-1,1,0.25,0.0035398230088495575
-1,-1,-1,1,0.25,0.005309734513274336
1,1,-1,1,0.25,0.007079646017699115
1,-1,-1,1,0.25,0.008849557522123894
1,-1,-1,1,0.25,0.010619469026548672
1,-1,-1,1,0.25,0.012389380530973451
1,-1,-1,1,0.25,0.01415929203539823
1,-1,-1,1,0.25,0.01592920353982301
1,-1,-1,1,0.25,0.017699115044247787
1,-1,-1,1,0.25,0.019469026548672566
1,-1,-1,1,0.25,0.021238938053097345
1,-1,-1,1,0.25,0.023008849557522124
1,-1,-1,1,0.25,0.024778761061946902
1,-1,-1,1,0.25,0.02654867256637168
-1,-1,-1,1,0.25,0.02831858407079646
1,1,-1,1,0.25,0.03008849557522124
1,1,-1,1,0.25,0.03185840707964602
1,1,-1,1,0.25,0.033628318584070796
1,1,-1,1,0.25,0.035398230088495575
1,1,-1,1,0.25,0.03716814159292035
1,-1,-1,1,0.25,0.03893805309734513
-1,-1,-1,1,0.25,0.04070796460176991
1,1,-1,1,0.25,0.04247787610619469
-1,-1,-1,1,0.25,0.04424778761061947
1,1,-1,1,0.25,0.04601769911504425
1,-1,-1,1,0.25,0.047787610619469026
1,-1,-1,1,0.25,0.049557522123893805
1,-1,-1,1,0.25,0.05132743362831858
-1,-1,-1,1,0.25,0.05309734513274336
1,1,-1,1,0.25,0.05486725663716814
-1,-1,-1,1,0.25,0.05663716814159292
1,1,-1,1,0.25,0.0584070796460177
1,-1,-1,1,0.25,0.06017699115044248
